area,family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,First_record_year,First_record_observer,First_Record_Institution_ID,First_Record_Collection_No,First_Record_Location,critical_comments,reviewed,review_status,annotation_status
saanich,Amaranthaceae,Salicornia pacifica,Salicornia pacifica,Salt marshes and beaches along the coast; locally abundant in suitable habitats. CDC Explorer lists as Sarcocornia pacifica (Standl.) A.J. Scott. H&C second edition = Sarcocornia perennis (Mill.) A.J. Scott - now revised to Salicornia pacifica Standl.,,1913-06-12,W. Taylor,UBC,V064095,"Islands south, Victoria, Fanny Bay",,"AS, MD, DG, TL",complete,remaining
saanich,Amaryllidaceae,Allium acuminatum,Allium acuminatum,On sandy or rocky soil in exposed places; very common throughout.,,1896-06-13,J.R. Anderson,WS,WS 45742,"Vancouver Island, Oak Bay","Washington University at Pullman, Marion Owenby Herbarium WS 45742 J.R. Anderson Oak Bay 1896. (TL)",AS,complete,remaining
,Amaryllidaceae,Allium amplectens,Allium amplectens,"Open, dry ground; frequent in Ten Mile Point and occasional throughout the area of study. HLR Mill Hill report in BEN 344.",,1924-06,W.A. Newcombe,MACF,MACF034597,Victoria,"DELETE! Washington University at Pullman, Marion Owenby Herbarium WS94060 J.R. Anderson Cowichan Lake 1919. Cowichan Lake is outside the Saanich Peninsula (TL)",AS,complete,remaining
saanich,Amaryllidaceae,Allium cernuum,Allium cernuum,"Dry, open, grassy places; common throughout in suitable habitats.",,1902-07-10,A.J. Hill,UBC,V024737,Sidney Island,"DELETE! Washington University at Pullman, Marion Owenby Herbarium WS45746 J.R. Anderson Shawnigan Lake 1905. (TL)",AS,complete,remaining
saanich,Amaryllidaceae,Allium geyeri var. tenerum,Allium geyeri tenerum,"Damp, open ground; occasional at Ten Mile Point, Cattle Point, Portage Inlet, Uplands, mouth of Millstream Creek and Sidney.",,1914-06-25,J.M. Macoun,RBCM,V000911,Sidney,,"TL, AS",complete,remaining
saanich,Amaryllidaceae,Allium vineale,Allium vineale,"Great Chain Island, north side, east of Oak Bay. Gull nesting island devoid of almost everything but annual weeds and grasses. Melburn collections Upland Park. Cruickshank iNaturalist observation Trial Island Ecological Reserve 2018.",,1961-07-30,M.C. Melburn,UBC,V119633,"Victoria, Uplands Park","First 2 and a half lines of cell are Lomer's field notes verbatim. See UBC Herbarium database. His name should appear in front of this info. AC Uplands Park 2004. Fenneman Victoria 2006. Ditchburn Victoria 2013. G. & W. Ansell Uplands Park 2014. See E-FLORA  B.C. photo gallery. (TL); Allium vineale is a rapidly spreading weed occurring in many places in the Victoria area, including parks like Uplands, Chinese Cemetery, Trafalgar, and along roads, boulevards and lawns (MF) ","TL, AS, MF",complete,remaining
saanich,Amaryllidaceae,Narcissus × incomparabilis,Narcissus × incomparabilis,"Airport fields FL 2014. Many clumps in the airport field, mostly inside the wire fence; leaves erect, glaucous; tepals cream, corona yellow; corona less than half the length of the tepals; hybrid between Narcissus poeticus and Narcissus pseudonarcissus; combining the flower features of the parents; either planted and naturalized and expanded from plantings or invasive from discarded bulbs; often cultivated; sterile; variable flowers in this population. On Lomer & Penny's non-established list.",,,,,,,FL = F. Lomer (TL),"TL, AS",in progress,remaining
saanich,Anacardiaceae,Toxicodendron diversilobum,Toxicodendron diversilobum,"Dry woods and exposed rocky places. A number of records came from Saanich Arm, where it was collected by J.R. Anderson in 1896-1917; recently reported by F. King 1963 from Prospect Lake and the Highland area. GD and A&OC collections McCurdy Point just across Saanich Inlet from Gowland Todd.",,1917-07-10,J.R. Anderson,UBC,V242431,Highlands just northwest of Victoria,N.B.! Correct spelling = Gowlland Tod. GD = G. Douglas (TL),"TL, AS, AJW",complete,remaining
saanich,Apiaceae,Aegopodium podagraria,Aegopodium podagraria,Zimmerman Mt Douglas Park iNaturalist observation 2020. Appears to be naturalized. Several other iNaturalist observations for Victoria and Oak Bay. Several Vancouver herbarium records.,,2019-10-30,tiegan,iNaturalist,35137032,"University of Victoria, Victoria",Change Vancouver to UBC. (TL); Retain as introduction or as an adventive on a separate list? (AS); spreading unchecked at several locations including at least one municipal park in Saanich– I suggest we consider it an irreversible part of the regional flora now (MF),"HR, TL, AJW, MF",complete,remaining
saanich,Apiaceae,Angelica genuflexa,Angelica genuflexa,"Moist places; sporadic; Cordova Bay, Gordon Head, Elk Lake and Goldstream.",,1934-08-21,A.W. Anderson,CMN,CAN 476247,Victoria,"Note: CMN = Canadian Museum of Nature Herbarium, Ottawa","AS, AJW, TL",complete,remaining
saanich,Apiaceae,Anthriscus caucalis,Anthriscus caucalis,"FL Mt Douglas lookout 2004, Fenneman Island View Beach 2006, Bennett & Mulder Beacon Hill Park 2010, Marr Hartland landfill 2007, HLR Bear Mt, Mt Finlayson 1996.",,1994-05-08,F. Lomer,UBC,V208460,"Saanich, Mount Douglas lookout",F. Lomer Mt Douglas lookout 2004. Should be 1994. See V208460 UBC. Commas should be replaced with periods for overall style consistency. Add E.R. Menton Metchosin 2012? (See UBC V238397) Anthrsicus caucalis should be Anthriscus caucalis.,"AS, TL, AJW",complete,remaining
saanich,Apiaceae,Cicuta douglasii,Cicuta douglasii,"Edges of streams and ditches; Beaver and Swan Lakes, Rithet's Bog, and the Highland district; abundant locally; this plant is highly poisonous to man and live stock.",,1898-08-24,J.R. Anderson,WS,WS51958,Victoria,"Grown from seed from Oregon. WS = Washington State University Marion Ownbey Herbarium, Pullman Washinton","TL, AS, AJW",complete,remaining
saanich,Apiaceae,Conioselinum pacificum,Conioselinum gmelinii,Sandy beaches and bluffs; locally abundant in suitable habitats.,"FPNW does not recognize C. gmelinii though these taxa are synonymized in annotations on CPNWH (AS); the name Conioselinum gmelinii predates Conioselinum pacificum, however, and should take priority if a synonym; type locality Kamchatka? Are these two different species (AJW)",1981-05-22,A. Ceska,RBCM,V163468,Chatham Islands; Griffin Island: off Victoria,"Combination C. gmelinii (Bray) Steud. of 1840 is a synonym of the Asian C. tataricum.  C. gmeliniii J.M. Coult. & Rose of 1900  is an illegitimate name because of the publication of the 1840 name.  The latter name is referential to our C. pacificum. (DG); while both Bray and Chamisso & Schlechtendal thought they were describing the same plant as Gmelin's pre-Linnaean phrase name, neither were... Bray's plant is from Latvia, C&S's is from the Bering coast of Alaska, and Gmelin's ""in omni Sibiria crescens"". (C&S's name is also illegitimate, for a separate reason than Coulter & Rose's.) Interestingly, the most recent (2003) revision of Conioselinum does (as David mentioned) dramatically expand C. tataricum from central Asia to include both Bray's and Gmelin's concept. That paper also calls our plants C. chinense, but as they really only focus on Eurasia they appear to be parroting Mathias and Constance's treatment in the vol 28 of the North American Flora (1944-1945). Cronquist's criticisms (Vasc Plants PNW vol 3, 1961) appear completely justified, and the M&C measurements appear to be based almost exclusively on Pacific material (their seed size figures exclude those for New England material given by Cronquist). The M&C treatment was prepared while Mathias was still at Berkeley with Constance, and it's entirely possible that they had insufficient material of C. chinense sensu stricto from New England. The 2003 paper does not cite Cronquist.","TL, AS, AJW, DG",complete,remaining
saanich,Apiaceae,Conium maculatum,Conium maculatum,"Native of Eurasia; roadsides, ditches, and disturbed places; poisonous; established as a weed in many areas throughout; the hemlock of classical antiquity.",,1912-05-01,J. Davidson,UBC,V029047,"Islands (South), Victoria",J. Davidson Islands (south) Victoria 1912. W.T. Macdonald Victoria 1915. J. Fenneman Saanich Peninsula 2006. A. Ceska Victoria Mt Tolmie 2008. D. Polster Macauley Point Esquimalt 2008. (TL),"TL, AS, AJW",complete,remaining
saanich,Apiaceae,Daucus carota,Daucus carota,"Native of Eurasia; open, grassy places; very common throughout.",,1967-07-24,A.S. Harrison,UMO,1966729,"Coburg Peninsula forming Esquimalt Lagoon, Esquimalt",Note: UMO = Tropicos Missouri Botanical Garden,"TL, AS, AJW",complete,remaining
saanich,Apiaceae,Daucus pusillus,Daucus pusillus,"Dry, open places; occasional; Saanich and Thetis Lake Park.",,1915-06-01,G. Allen,RBCM,V003531,Mandarte Island = Bare Island Indian Reserve 9,,"AS, AJW",complete,remaining
saanich,Apiaceae,Foeniculum vulgare,Foeniculum vulgare,Native of Europe; roadsides and waste places; widely introduced throughout.,,1936-07-26,V. Goddard,RBCM,V022979,Victoria: Wharf and Douglas Streets,Marr Colwood: Coburg Peninsula; Esquimalt Lagoon; S end of Lagoon Road on the ocean side. 2007. Established? (TL); appears to have become an ineradicable element of our flora but I haven’t seen it spreading as aggressively as Aegopodium podagraria (MF),"TL, AS, AJW, MF",complete,remaining
saanich,Apiaceae,Glehnia littoralis ssp. leiocarpa,Glehnia littoralis leiocarpa,"Sandy beaches; Saanichton Bay, Saanichton Spit, Sidney Island and Island View Beach.",,1917-06-17,J.K. Henry,UBC,V029077,Long Bay,"B.C. CDC blue-listed. J. Eastham Saanich Spit 1939. W. Newton Sidney Spit 1946. T.M.C. Taylor Saanichton 1952. J. Gatten Saanichton Spit 2010. Pippi Lawn Sidney Island 2017. (last 2 occurrences from E-Flora B.C. photo gallery.)  There is a Long Bay located in the Saanich Peninsula, specifically within the municipality of North Saanich. The Long Bay is part of the shoreline of North Saanich and extends eastward from the Saanich Inlet. 
(TL) ","TL, AS, AJW",complete,remaining
saanich,Apiaceae,Heracleum mantegazzianum,Heracleum mantegazzianum,"TCB Helmcken Street at Camden Ave. 1978, Marr Camden Ave. 2004.",,1978-09-09,T.C. Brayshaw,RBCM,V090523D,Victoria: Helmcken Street at Camden Street,"TCB = T.C. Brayshaw. Should be a period after 1978, not a comma. (TL)","TL, AS, AJW",complete,remaining
saanich,Apiaceae,Heracleum maximum,Heracleum maximum,"Moist, low ground; common throughout.",,1912-05-19,J.K. Henry,UBC,V063955,Victoria,J.K. Henry Victoria 1912. E.R. Manton Cowichan Lake 2012? (TL),"AS, AJW",complete,remaining
saanich,Apiaceae,Lilaeopsis occidentalis,Lilaeopsis occidentalis,TCB West Chatham Island 1992. Shepard Trial Island 1991. Cruickshank iNaturalist observation Trial Island 2011 and 2018.,,1991-07-21,M. Shepard,RBCM,V152635,Oak Bay; Trial Island,TCB = T.C. Brayshaw. (TL) ,"TL, AJW, AS",complete,remaining
saanich,Apiaceae,Lomatium dissectum,Lomatium dissectum,"Dry, open ground, rocky slopes, and talus; occasional in suitable habitats.",,1904-05-29,J.R. Anderson,UBC,V214265,Thetis Lake,B.C. CDC red-listed. Other locations on CDC Explorer report for Saanich Peninsula. J.R. Anderson Thetis Lake 1904. N.B. Image zoom of specimen reveals that recorded date should be 1904-05-29. The date was taken was partially that of the determiner C.C. Chuang 1973-02-16. W.A. Hardy Saanich 1938. D. Charter Duncan near Quamichan Lake 1949. A. Ceska Chatham Islands off Victoria Alpha Islet 1981. (S.K. Mann Duncan Mt Tzauhalem 2003. Six occurrences on E-Flora BC photo gallery. (TL),"TL, AS, AJW",complete,remaining
saanich,Apiaceae,Lomatium nudicaule,Lomatium nudicaule,"Dry, open places and rocky outcrops; common on suitable habitats throughout.",,1905-05-17,E.M. Farr,UBC,V029202,Victoria,E.M. Farr Victoria 1905. J. Eastham Victoria Beacon Hill 1912. E. Wilson Victoria 1913.   J.G. Darling Esquimalt 1917. C. Bretram Victoria 1918. G.V. Copley Victoria Beacon Hill 1920. See E-Flora B.C. photo gallery for more occurrences. (TL),"TL, AS, AJW",complete,remaining
saanich,Apiaceae,Lomatium utriculatum,Lomatium utriculatum,Open slopes and rocky outcrops; common throughout in suitable habitat; the commonest Lomatium in the area.,,1905-05-17,E.M. Farr,UBC,V029238,Victoria,E.M. Farr Victoria 1905. E. Wilson Victoria c. 1913. J.K. Henry s. V.I. c. 1915. J.G. Darling Esquimalt 1917. G.V. Copley Beacon Hill 1920. J.A. Calder Victoria Mt Douglas 1962. E.R. Manton Mill Hill and Victoria Uplands 2012. See also E-Flora B.C. photo gallery for more occurrences.,"TL, AS, AJW",complete,remaining
saanich,Apiaceae,Oenanthe sarmentosa,Oenanthe sarmentosa,"Low, wet places along streams and around sloughs; common throughout.",,1968-04-07,J. Kuijt,LEA,Occurrence ID 2132804,Teaneck Lake,L.E. Pavlick Shawnigan Lake 1991. V. George Oak Bay 2011 E-Flora B.C. photo gallery. LEA = University of Lethbridge Herbarium. No accession number. Replaced by Occurrence ID 2132804 (TL),"TL, AS, AJW",complete,remaining
saanich,Apiaceae,Osmorhiza berteroi,Osmorhiza berteroi,Woodlands; common throughout.,,1941-07-09,T.M.C. Taylor,UBC,V247445,Saanichton,T.M.C. Taylor Saanichton 1941. V.I. Krajina Victoria 1950. Saanich 1950. Skirt Mt 1968. P.D. Warrington Saanichton 1964. A.S. Harrison Gowlland Tod PP 1967. A.F. Szczawinski Langford Lake 1971. E.R. Manton View Royal 2011. (TL),"TL, AS, AJW",complete,remaining
saanich,Apiaceae,Osmorhiza purpurea,Osmorhiza purpurea,"Wet, wooded areas; sporadic throughout.",,1950-05-18,V.J. Krajina,UBC,V046321,"Mount Douglas near Victoria, plot no. 6",V.J. Krajina Mt Douglas 1950.,"TL, AS",complete,remaining
saanich,Apiaceae,Perideridia montana,Perideridia gairdneri,Open ground; woodland and wet meadows; sporadic throughout. HJ Bear Hill observation moderatly abundant in moss balds Aug 5/03.,,1914-08-18,J. Davidson,UBC,V080392,Victoria,"= P. gairdneri; ""I can confirm the occurrence of Perideridia gairdneri (now P. montana) on the Saanich Peninsula. I checked my records for Mill Hill only, but assume it also occurs on other hilltops, including Mt. Newton, Little Saanich Mountain and Bear Hill."" HR Beacon Hill Miss Bertram 1916-08-03 UBC V080393 TL","TL, HR, AS, AJW",complete,remaining
saanich,Apiaceae,Petroselinum crispum,Petroselinum crispum,"TCB Ogden Point 1987, FL Helijet parking area 2002. Cruickshank Sidney Spit iNaturalist observaton 2017. On Lomer & Penny's non-established list.",,,,,,,"TCB = T.C. Brayshaw  F. Lomer Victoria 2002 (TL); spreading unchecked at several locations including on Trial Island – I suggest we consider it an irreversible part of the regional flora now (MF); We still have retained this on established flora, with the following description. “Occasional garden escape, only rarely persisting.” We have records from only two islands – San Juan (with several, at least one persistent) and Yellow (where it went wild for a few years nearby a garden plant but is no longer present). PD; on list of non-established vascular plants in BC AS","AS, TL, AJW, MF, PD",in progress,remaining
saanich,Apiaceae,Sanicula arctopoides,Sanicula arctopoides,"Beaches and coastal bluffs; sporadic; Beacon Hill, Clover Point, Cattle Point, Harling Point, Bentick Island, Trial Island and Foul Bay.",,1897-04-20,J.K. Henry,UBC,check,"Victoria, Beacon Hill park","Red-listed. J.K. Henry Beacon Hill Park 1897. W. Taylor Cadboro Bay 1913. F. Perry Victoria 1917. J.W. Eastham Beacon Hill Park 1938. G. Moyer Victoria Saxe Point 1963. J. Hett Trial Island 1964. A. Ceska Trial Islands, Bigger Island 1980. (TL)","AS, TL, AJW",complete,remaining
saanich,Apiaceae,Sanicula bipinnatifida,Sanicula bipinnatifida,Open to partly wooded areas; occasional throughout.,,,,,,,"Red-listed. G.V. Copley Beacon Hill 1920. J.W. Eastham Beacon Hill, Victoria 1938. Ten Mile Point 1942. R.W. Pilsbury Cattle Point 1948. K.I. Beamish Mill Hill 1966. A. Ceska Mt Tzuhalem 1980. M.W. Ryan Cattle Point 1993. J.L. Penny Dallas Rd. Holland Pt. 1999.  ","AS, TL, AJW",complete,remaining
saanich,Apiaceae,Sanicula crassicaulis var. crassicaulis,Sanicula crassicaulis,Wet to dry wooded places; common throughout.,,,,,,,"J.K. Henry Beacon Hill Park 1897. Anonymous Oak Bay 1912. W. Taylor Victoria 1913. E.R. Manton Mt Tolmie, Nursery Hill Park 2011. Uplands Park 2012. (TL); HJ did not discriminate between var. crassicaulis and var. tripartita; HJ_comment should be interpreted as referring to the taxon s.lat. (PD, AS)","AS, TL, AJW, PD",complete,remaining
saanich,Apiaceae,Sanicula crassicaulis var. tripartita,,NA,,,,,,,"HJ did not discriminate between var. crassicaulis and var. tripartita; HJ_comment should be interpreted as referring to the taxon s.lat. (PD, AS)","AS, PD",complete,remaining
saanich,Apiaceae,Sanicula europaea,Sanicula europaea,FL Goldstream 2008. AC Goldstream 1981.,not in FPNW2,,,,,,FL = F. Lomer. Not in Flora of the Saanich Peninsula?? J. Fenneman Goldstream 2006. (E-Flora B.C. photo gallery) (TL) ,"AS, TL, AJW",complete,remaining
saanich,Apiaceae,Sanicula graveolens,Sanicula graveolens,"Open and partly wooded areas; occasional in Lost and Prospect Lakes, Mount Douglas, Mt Finlayson and the Goldstream area.",,,,,,,Anonymous Langford Lake 1912. E.R. Manton Mt Blinkhorn 2012. (TL),"AS, TL, AJW",complete,remaining
saanich,Apiaceae,Sium suave,Sium suave,Swampy places and shallow water; common throughout in suitable habitat.,,,,,,,,"AS, TL, AJW",complete,remaining
saanich,Apiaceae,Yabea microcarpa,Yabea microcarpa,Miskelly&Miskelly Gowland Tod Provincial Park trails 2013.,,,,,,,J.L. Penny Cowichan River Estuary 1997. F. Lomer Malahat Lookout 2004. (TL),"AS, TL, AJW",complete,remaining
saanich,Apocynaceae,Apocynum androsaemifolium,Apocynum androsaemifolium,"Dry, open ground; most common in Prospect Lake, Thetis Lake Park, and the Highland district; occasional in Royal Oak. A&OC Spencer Pond, Langford 1987.",,,,,,,M. Clark Victoria 1898. D.C. Buckland Victoria 1962. J.P. Luitjens Prospect Lake 1965. (TL),"TL, AS",complete,remaining
saanich,Apocynaceae,Apocynum cannabinum,Apocynum cannabinum,"Dry, sandy places; rare; known only from Victoria, where it was collected by W. A. Newcombe in 1915.",,,,,,,,AS,complete,remaining
saanich,Apocynaceae,Vinca major,Vinca major,"Native of Europe; roadsides, neglected lots, and gardens; common; a garden escapee in the Victoria and Saanich areas.",,,,,,,,AS,complete,remaining
saanich,Apocynaceae,Vinca minor,Vinca minor,Native of Eurasia; neglected lots and roadsides; a garden escapee; occasional throughout.,,,,,,,"K. Newell Mt Douglas 2005. This species is listed as one of the twelve most problematic species in the Vancouver Region by the Greater Vancouver Invasive Plant Council.  For further information, visit their web site.","TL, AS",complete,remaining
saanich,Aquifoliaceae,Ilex aquifolium,Ilex aquifolium,"Adventive in moist woods. Victoria, Esquimalt, Oak Bay, Cordova Bay.",,,,,,,H. Rhodes Saanichton Experimental Station 1955. (TL),TL,complete,remaining
saanich,Araceae,Arum italicum,Arum italicum,"FL Cedar Hill Golf Course 2014. Garden escape noted on Vancouver Island by Jamie Fenneman and Adolf Ceska, 2013 CDC update. Several iNaturalist reports Victoria, Oak Bay, Brentwood.",,,,,,,FL = F. Lomer,"TL, AS",complete,remaining
saanich,Araceae,Lemna minor,Lemna minor,Lakes and ponds throughout. Many reports may be in error (name misapplied to native L. minuta) Re-check.,,,,,,,"A. Ceska Swan Lake, Victoria 2011. (4 records of L. minuta in UBC Herbarium database.) (TL); name misapplied to Lemna minuta? (AS)","TL, AS",in progress,remaining
saanich,Araceae,Lemna trisulca,Lemna trisulca,Ponds and lakes; known only from Elk Lake; most likely poorly collected. Misspelled as triscula in original publicartion.,,,,,,,The word publicartion misspelled: should be publication. (TL),"TL, AS",complete,remaining
saanich,Araceae,Lysichiton americanus,Lysichiton americanus,"Boggy, wet places, lakeshores; throughout in suitable habitats.",,,,,,,"A.S. Harrison Tod Creek 1967, Durrance Lake 1967. A.F. Szczawinski Langford, Millstream 1970. T.C. Brayshaw Provincial Museum Garden 1973. (TL)","TL, AS",complete,remaining
saanich,Araceae,Spirodela polyrrhiza,Spirodela polyrhiza,"Standing fresh water; Swan, Beaver, and Elk Lakes.",,,,,,,J. Fenneman Sidney Island 2007. (E-Flora photo gallery) (TL),"TL, AS",complete,remaining
saanich,Araceae,Wolffia columbiana,Wolffia columbiana,"Calm, standing fresh water, Elk Lake, Beaver Lake, Blenkinsop Lake, Swan Lake.",,,,,,,F. Lomer Swan Lake 1997.,"TL, AS",complete,remaining
saanich,Araliaceae,Hedera helix,Hedera helix,Native of Europe; escaped from cultivation; common throughout.,,,,,,,J.W. Eastham Victoria 1938. (T.L.) ,TL,remaining,remaining
saanich,Araliaceae,Hedera hibernica,Hedera hibernica,Zika Fort Rodd Hill 2006. Spreading in Uplands Park.,,,,,,,Zika = P. Zika (TL),TL,remaining,remaining
saanich,Araliaceae,Oplopanax horridus,Oplopanax horridus,"Damp, alluvial flats; rare; known only from the Goldstream area, where it was collected by A.F. Szczawinski in 1955.",,,,,,,,AS,complete,remaining
saanich,Aristolochiaceae,Asarum caudatum,Asarum caudatum,"Moist, shaded woods; restricted mainly to Goldstream Park. Anderson 1896, AC confirmation 1971.",,,,,,,J.R. Anderson Victoria (coast) 1896. J. Hett Goldstream Park 1964. (TL),"TL, AS",complete,remaining
saanich,Asparagaceae,Asparagus officinalis,Asparagus officinalis,"Occasionally escaping, waste ground. North Saanich, Gordon Head.",,,,,,,,,remaining,remaining
saanich,Asparagaceae,Brodiaea coronaria,Brodiaea coronaria,"Dry, open, grassy slopes and rocky outcrops.",,,,,,,UBC V24820 A.L. Hill Victoria 1898. W. Taylor Victoria 1913. G.V. Copley Beacon Hill 1920. J.W. Eastham Victoria 1938. J.A. Calder Colwood 1961. J. Hett Trial Island 1964. P. Nagy Langford 1995. (Select which ones we want?) (TL) ,"TL, AS",complete,remaining
saanich,Asparagaceae,Brodiaea rosea var. rosea,Brodiaea coronaria rosea,"Soper Mill Hill, Langford 1969. Mund Langford iNaturalist report 2019. Johnson Mt McDonald, Langford iNaturalist report 2020. Beange John Dean Park iNaturalist report 2020.",,,,,,,,,remaining,remaining
saanich,Asparagaceae,Camassia leichtlinii ssp. suksdorfii,Camassia leichtlinii suksdorfii,(RBCM  herbarium),,,,,,,F. Perry Victoria 1917. Mrs. Morris Island south of Victoria 1918. J.W. Eastham Beacon Hill Park 1938. D. Buckland Victoria 1939. V.J. Krajina Victoria (above McNeil Bay) 1950. (Several others upon request). TYPO: extensivly should be extensively. (TL),"TL, AS",complete,remaining
saanich,Asparagaceae,Camassia quamash ssp. maxima,Camassia quamash maxima,Parklands and grassy open places; common throughout.,,,,,,,"J. Davidson Islands south of Victoria 1912. J.W. Eastham Beacon Hill Park 1938. N.J. Turner Langford, Mill Hill 1972. E.R. Manton Uplands Park 2012. More upon request. (TL)","TL, AS",complete,remaining
saanich,Asparagaceae,Hyacinthoides hispanica,Hyacinthoides hispanica,Krajina & Spilsbury Anderson Hill 1950. Hett Goldstream dump 1962. Persisting from cultivation.,,,,,,,J. Hett. (TL),TL,remaining,remaining
saanich,Asparagaceae,Hyacinthoides massartiana,Hyacinthoides × massartiana,"Persisting from cultivation, FL Flower Island 2012.",Named hybrid Hyacinthoides x massartiana (TL),,,,,,FL = F. Lomer (TL) ,TL,remaining,remaining
